,Unnamed: 0,Link,Date,ISIN,Issue Date,Coupon,Maturity Date,Months to Maturity,Next Coupon Payment,Coupon Start Date,TK Data,2025-01-06,2025-01-07,2025-01-08,2025-01-09,2025-01-10,2025-01-13,2025-01-14,2025-01-15,2025-01-16,2025-01-17,2025-01-20
37,37,https://markets.businessinsider.com/bonds/canadacd-bonds_201925-Bond-2025-ca135087k528,2025-01-23,CA135087K528,10/11/2019,1.250%,2025-03-01,36,3/1/2025,3/1/2020,"1,50546643,1330,184",99.73,99.73,99.74,99.73,99.74,99.73,99.73,99.77,99.78,99.8,99.8
21,21,https://markets.businessinsider.com/bonds/canadacd-bonds_202025-Bond-2025-ca135087k940,2025-01-23,CA135087K940,4/3/2020,0.500%,2025-09-01,220,3/1/2025,9/1/2020,"1,53991397,1330,184",98.4,98.41,98.4,98.42,98.37,98.36,98.36,98.4,98.47,98.5,98.53
42,42,https://markets.businessinsider.com/bonds/canadacd-bonds_202026-Bond-2026-ca135087l518,2025-01-23,CA135087L518,10/9/2020,0.250%,2026-03-01,401,3/1/2025,3/1/2021,"1,57601476,1330,184",96.99,96.98,96.97,97.0,96.9,96.91,96.8,96.9,97.01,97.06,97.1
30,30,https://markets.businessinsider.com/bonds/canadacd-bonds_202126-Bond-2026-ca135087l930,2025-01-23,CA135087L930,4/16/2021,1.000%,2026-09-01,585,3/1/2025,9/1/2021,"1,111141014,1330,184",97.01,96.99,97.0,97.03,96.86,96.77,96.71,96.85,97.03,97.07,97.11
33,33,https://markets.businessinsider.com/bonds/canadacd-bonds_202127-Bond-2027-ca135087m847,2025-01-23,CA135087M847,10/15/2021,1.250%,2027-03-01,766,3/1/2025,3/1/2022,"1,114329463,1330,184",96.62,96.59,96.58,96.63,96.39,96.28,96.19,96.36,96.6,96.64,96.69
34,34,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-Bond-2027-ca135087n837,2025-01-23,CA135087N837,5/13/2022,2.750%,2027-09-01,950,3/1/2025,9/1/2022,"1,119036843,1330,184",99.63,99.56,99.54,99.58,99.27,99.13,99.02,99.2,99.5,99.53,99.61
16,16,https://markets.businessinsider.com/bonds/canadacd-bonds_202228-Bond-2028-ca135087p576,2025-01-23,CA135087P576,10/21/2022,3.500%,2028-03-01,1132,3/1/2025,3/1/2023,"1,122651336,1330,184",101.82,101.82,101.7,101.72,101.52,101.26,101.02,101.24,101.58,101.65,101.71
9,9,https://markets.businessinsider.com/bonds/canadacd-bonds_202328-Bond-2028-ca135087q491,2025-01-23,CA135087Q491,4/21/2023,3.250%,2028-09-01,1316,3/1/2025,9/1/2023,"1,126528699,1330,184",101.1,101.14,100.99,100.94,100.79,100.49,100.19,100.42,100.92,101.02,101.11
1,1,https://markets.businessinsider.com/bonds/canadacd-bonds_202329-Bond-2029-ca135087q988,2025-01-23,CA135087Q988,10/13/2023,4.000%,2029-03-01,1497,3/1/2025,3/1/2024,"1,130328741,1330,184",104.07,104.01,103.9,103.87,103.53,103.29,102.99,103.24,103.8,103.9,104.02
7,7,https://markets.businessinsider.com/bonds/canadacd-bonds_202429-Bond-2029-ca135087r895,2025-01-23,CA135087R895,4/8/2024,3.500%,2029-09-01,1681,3/1/2025,9/1/2024,"1,134387959,1330,184",102.22,102.14,102.04,101.98,101.59,101.28,101.0,101.27,101.85,101.97,102.13
17,17,https://markets.businessinsider.com/bonds/canadacd-bonds_202430-Bond-2030-ca135087s471,2025-01-23,CA135087S471,10/3/2024,2.750%,2030-03-01,1862,3/1/2025,3/1/2025,"1,138913105,16,184",98.81,98.6,98.53,98.54,97.96,97.61,97.38,97.76,98.4,98.47,98.69
